Name,Address,Description
C Banquets,"300 City Centre Drive, 12th Floor, Mississauga, ON L5B 3C1","Ask the venue: Which entrance and elevator should the decor team use, when is access available, and where may the backdrop stand without affecting exits, service routes or window access? Temporary venue update, checked September 14, 2026: the City of Mississauga states that this venue is scheduled to close for renovations from December 21, 2026, through February 28, 2027. Confirm current availability directly with the venue."
Living Arts Centre,"4141 Living Arts Drive, Mississauga, ON L5B 4B8","Ask the venue: Which loading entrance serves the reserved room, what doorway or elevator restrictions apply, and when may installation and removal take place?"
Small Arms Inspection Building,"1352 Lakeshore Road East, Mississauga, ON L5E 1E9","Ask the venue: Where may a freestanding backdrop be positioned on the approved floor plan, which entrance should the vendor use, and is an indoor backup location available?"
Harding Waterfront Estate,"2700 Lakeshore Road West, Mississauga, ON L5J 0B4","Ask the venue: Which part of the estate is included in the booking, where is freestanding decor permitted, what surface is available, and which indoor backup location is approved?"
The Waterside Inn Hotel & Conference Centre,"15 Stavebank Road South, Mississauga, ON L5G 2T2","Ask the venue: Which ballroom sections and layout are booked, where are the service and terrace doors, and what vendor route and setup period apply?"
Glenerin Inn & Spa,"1695 The Collegeway, Mississauga, ON L5L 3S7","Ask the venue: Which room is reserved, how much clear floor area is available, which vendor entrance should be used, and what indoor alternative applies if a patio setup changes?"
Mississauga Grand Banquet & Event Centre,"35 Brunel Road, Mississauga, ON L4Z 3E8","Ask the venue: Which ballroom is booked, what decor is already included, where may an external flower wall be installed, and which entrance and setup period should the vendor use?"
Mississauga Convention Centre,"75 Derry Road West, Mississauga, ON L5W 1G3","Ask the venue: Which hall or combination is reserved, are outside decor providers permitted, and what loading entrance, insurance requirements and installation schedule apply?"
The International Centre,"6900 Airport Road, Mississauga, ON L4V 1E8","Ask the venue: Which hall and loading dock are assigned, what is the scheduled arrival slot, and are vendor approval, insurance or check-in documents required?"
BraeBen Golf Course,"5700 Terry Fox Way, Mississauga, ON L5V 2W2","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access. Temporary venue update, checked September 14, 2026: the City of Mississauga states that this venue is scheduled to close for renovations from December 21, 2026, through February 28, 2027. Confirm current availability directly with the venue."
Renaissance by the Creek,"3045 Southcreek Road, Mississauga, ON L4X 2X7","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Red Rose Convention Centre,"1233 Derry Road East, Mississauga, ON L5T 1B6","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Luxe Convention Centre at Hyatt Place Toronto/Mississauga Centre,"5787 Hurontario Street, Mississauga, ON L4Z 2H7","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Apollo Convention Centre,"6591 Innovator Drive, Mississauga, ON L5T 2V8","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Hilton Mississauga/Meadowvale,"6750 Mississauga Road, Mississauga, ON L5N 2L3","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Four Points by Sheraton Mississauga Meadowvale,"2501 Argentia Road, Mississauga, ON L5N 4G8","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Four Points by Sheraton Toronto Mississauga,"6090 Dixie Road, Mississauga, ON L5T 1A6","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Palacio Event Centre,"3410 Semenyk Court, Mississauga, ON L5C 4P8","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
Courtyard by Marriott Toronto Mississauga/West,"290 Derry Road West, Mississauga, ON L5W 1N6","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
The Grand Victorian Convention Centre,"175 Derry Road East, Mississauga, ON L5T 2Z7","Confirm the exact room, approved backdrop position, vendor entrance, unloading instructions, setup window and removal access."
